ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,11.09,1.8750131
2021-01-01 00:00:00,2021-01-01 01:00:00,9.576,1.8124878
2021-01-01 00:00:00,2021-01-01 02:00:00,13.497,1.5000105
2021-01-01 00:00:00,2021-01-01 03:00:00,12.709,1.4374852
2021-01-01 00:00:00,2021-01-01 04:00:00,9.599,1.5
2021-01-01 00:00:00,2021-01-01 05:00:00,6.494,1.5625
2021-01-01 00:00:00,2021-01-01 06:00:00,6.167,1.5
2021-01-01 00:00:00,2021-01-01 07:00:00,9.985,1.7499924
2021-01-01 00:00:00,2021-01-01 08:00:00,9.753,1.7499924
2021-01-01 00:00:00,2021-01-01 09:00:00,7.033,2.1874905
2021-01-01 00:00:00,2021-01-01 10:00:00,5.509,2.3125112
2021-01-01 00:00:00,2021-01-01 11:00:00,5.237,2.249986
2021-01-01 06:00:00,2021-01-01 06:00:00,6.167,0.5625
2021-01-01 06:00:00,2021-01-01 07:00:00,9.985,0.6875
2021-01-01 06:00:00,2021-01-01 08:00:00,9.753,1.0625124
2021-01-01 06:00:00,2021-01-01 09:00:00,7.033,2.124995
2021-01-01 06:00:00,2021-01-01 10:00:00,5.509,2.6875138
2021-01-01 06:00:00,2021-01-01 11:00:00,5.237,2.375
2021-01-01 06:00:00,2021-01-01 12:00:00,5.587,2.8125048
2021-01-01 06:00:00,2021-01-01 13:00:00,6.254,2.9374957
2021-01-01 06:00:00,2021-01-01 14:00:00,8.908,3.2500029
2021-01-01 06:00:00,2021-01-01 15:00:00,9.948,3.5000145
2021-01-01 06:00:00,2021-01-01 16:00:00,10.327,3.4374893
2021-01-01 06:00:00,2021-01-01 17:00:00,13.23,4.125
2021-01-01 12:00:00,2021-01-01 12:00:00,5.587,1.562506
2021-01-01 12:00:00,2021-01-01 13:00:00,6.254,1.7499924
2021-01-01 12:00:00,2021-01-01 14:00:00,8.908,1.8750131
2021-01-01 12:00:00,2021-01-01 15:00:00,9.948,2.000004
2021-01-01 12:00:00,2021-01-01 16:00:00,10.327,2.3750067
2021-01-01 12:00:00,2021-01-01 17:00:00,13.23,3.4375
2021-01-01 12:00:00,2021-01-01 18:00:00,10.776,3.9375
2021-01-01 12:00:00,2021-01-01 19:00:00,17.902,4.4375
2021-01-01 12:00:00,2021-01-01 20:00:00,22.197,5.3125
2021-01-01 12:00:00,2021-01-01 21:00:00,23.845,5.8125
2021-01-01 12:00:00,2021-01-01 22:00:00,31.01,5.875
2021-01-01 12:00:00,2021-01-01 23:00:00,37.928,5.9375
2021-01-01 18:00:00,2021-01-01 18:00:00,10.776,3.125
2021-01-01 18:00:00,2021-01-01 19:00:00,17.902,3.625
2021-01-01 18:00:00,2021-01-01 20:00:00,22.197,4.5
2021-01-01 18:00:00,2021-01-01 21:00:00,23.845,5.75
2021-01-01 18:00:00,2021-01-01 22:00:00,31.01,6.1874986
2021-01-01 18:00:00,2021-01-01 23:00:00,37.928,6.5000057
2021-01-01 18:00:00,2021-01-02 00:00:00,46.364,7.1874857
2021-01-01 18:00:00,2021-01-02 01:00:00,37.226,7.375
2021-01-01 18:00:00,2021-01-02 02:00:00,21.51,7.0625
2021-01-01 18:00:00,2021-01-02 03:00:00,38.158,6.8750086
2021-01-01 18:00:00,2021-01-02 04:00:00,27.856,6.3124895
2021-01-01 18:00:00,2021-01-02 05:00:00,21.724,5.4374933
2021-01-02 00:00:00,2021-01-02 00:00:00,46.364,7.8125
2021-01-02 00:00:00,2021-01-02 01:00:00,37.226,7.874995
2021-01-02 00:00:00,2021-01-02 02:00:00,21.51,7.8125
2021-01-02 00:00:00,2021-01-02 03:00:00,38.158,7.687509
2021-01-02 00:00:00,2021-01-02 04:00:00,27.856,7.437497
2021-01-02 00:00:00,2021-01-02 05:00:00,21.724,6.8750086
2021-01-02 00:00:00,2021-01-02 06:00:00,17.194,6.0000124
2021-01-02 00:00:00,2021-01-02 07:00:00,19.029,5.5625143
2021-01-02 00:00:00,2021-01-02 08:00:00,15.733,5.4374933
