ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,,8.125008
2021-01-01 00:00:00,2021-01-01 01:00:00,,8.562506
2021-01-01 00:00:00,2021-01-01 02:00:00,,9.062499
2021-01-01 00:00:00,2021-01-01 03:00:00,,8.749991
2021-01-01 00:00:00,2021-01-01 04:00:00,,7.8125
2021-01-01 00:00:00,2021-01-01 05:00:00,,7.0
2021-01-01 00:00:00,2021-01-01 06:00:00,,6.1875
2021-01-01 00:00:00,2021-01-01 07:00:00,,5.4999886
2021-01-01 00:00:00,2021-01-01 08:00:00,,4.6249924
2021-01-01 00:00:00,2021-01-01 09:00:00,,3.56251
2021-01-01 00:00:00,2021-01-01 10:00:00,,2.9999912
2021-01-01 00:00:00,2021-01-01 11:00:00,,2.6875138
2021-01-01 06:00:00,2021-01-01 06:00:00,,7.375
2021-01-01 06:00:00,2021-01-01 07:00:00,,7.125
2021-01-01 06:00:00,2021-01-01 08:00:00,,6.3124895
2021-01-01 06:00:00,2021-01-01 09:00:00,,5.2500067
2021-01-01 06:00:00,2021-01-01 10:00:00,,3.9375126
2021-01-01 06:00:00,2021-01-01 11:00:00,,3.0
2021-01-01 06:00:00,2021-01-01 12:00:00,,2.3750067
2021-01-01 06:00:00,2021-01-01 13:00:00,,1.8124878
2021-01-01 06:00:00,2021-01-01 14:00:00,,1.9375086
2021-01-01 06:00:00,2021-01-01 15:00:00,,1.9375086
2021-01-01 06:00:00,2021-01-01 16:00:00,,1.8124878
2021-01-01 06:00:00,2021-01-01 17:00:00,,1.8125
2021-01-01 12:00:00,2021-01-01 12:00:00,,2.562493
2021-01-01 12:00:00,2021-01-01 13:00:00,,2.6249886
2021-01-01 12:00:00,2021-01-01 14:00:00,,2.3750067
2021-01-01 12:00:00,2021-01-01 15:00:00,,2.3125112
2021-01-01 12:00:00,2021-01-01 16:00:00,,2.0624995
2021-01-01 12:00:00,2021-01-01 17:00:00,,1.875
2021-01-01 12:00:00,2021-01-01 18:00:00,,1.9375
2021-01-01 12:00:00,2021-01-01 19:00:00,,2.0625
2021-01-01 12:00:00,2021-01-01 20:00:00,,2.6875
2021-01-01 12:00:00,2021-01-01 21:00:00,,2.8125
2021-01-01 12:00:00,2021-01-01 22:00:00,,2.875
2021-01-01 12:00:00,2021-01-01 23:00:00,,3.9375
2021-01-01 18:00:00,2021-01-01 18:00:00,,2.0
2021-01-01 18:00:00,2021-01-01 19:00:00,,1.875
2021-01-01 18:00:00,2021-01-01 20:00:00,,1.6875
