ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,0.058,1.3124943
2021-01-01 00:00:00,2021-01-01 01:00:00,1.833,1.3124943
2021-01-01 00:00:00,2021-01-01 02:00:00,2.317,1.1250079
2021-01-01 00:00:00,2021-01-01 03:00:00,2.676,1.1250079
2021-01-01 00:00:00,2021-01-01 04:00:00,4.953,1.1875
2021-01-01 00:00:00,2021-01-01 05:00:00,7.065,1.625
2021-01-01 00:00:00,2021-01-01 06:00:00,7.742,1.6875
2021-01-01 00:00:00,2021-01-01 07:00:00,8.665,2.0624995
2021-01-01 00:00:00,2021-01-01 08:00:00,10.179,1.8750131
2021-01-01 00:00:00,2021-01-01 09:00:00,12.003,1.8124878
2021-01-01 00:00:00,2021-01-01 10:00:00,12.957,1.6874969
2021-01-01 00:00:00,2021-01-01 11:00:00,8.821,1.4374852
2021-01-01 06:00:00,2021-01-01 06:00:00,7.742,1.5625
2021-01-01 06:00:00,2021-01-01 07:00:00,8.665,1.875
2021-01-01 06:00:00,2021-01-01 08:00:00,10.179,2.249986
2021-01-01 06:00:00,2021-01-01 09:00:00,12.003,1.9375086
2021-01-01 06:00:00,2021-01-01 10:00:00,12.957,1.6874969
2021-01-01 06:00:00,2021-01-01 11:00:00,8.821,1.75
2021-01-01 06:00:00,2021-01-01 12:00:00,7.382,1.8124878
2021-01-01 06:00:00,2021-01-01 13:00:00,5.306,2.000004
2021-01-01 06:00:00,2021-01-01 14:00:00,5.054,2.3125112
2021-01-01 06:00:00,2021-01-01 15:00:00,7.666,2.249986
2021-01-01 06:00:00,2021-01-01 16:00:00,8.32,2.249986
2021-01-01 06:00:00,2021-01-01 17:00:00,6.705,2.5625
2021-01-01 12:00:00,2021-01-01 12:00:00,7.382,1.8124878
2021-01-01 12:00:00,2021-01-01 13:00:00,5.306,1.7499924
2021-01-01 12:00:00,2021-01-01 14:00:00,5.054,2.000004
2021-01-01 12:00:00,2021-01-01 15:00:00,7.666,2.3125112
2021-01-01 12:00:00,2021-01-01 16:00:00,8.32,2.1874905
2021-01-01 12:00:00,2021-01-01 17:00:00,6.705,2.1875
2021-01-01 12:00:00,2021-01-01 18:00:00,8.582,2.3125
2021-01-01 12:00:00,2021-01-01 19:00:00,7.287,2.5625
2021-01-01 12:00:00,2021-01-01 20:00:00,8.117,2.5
2021-01-01 12:00:00,2021-01-01 21:00:00,11.574,2.5
2021-01-01 12:00:00,2021-01-01 22:00:00,15.502,2.375
2021-01-01 12:00:00,2021-01-01 23:00:00,12.073,2.3125
2021-01-01 18:00:00,2021-01-01 18:00:00,8.582,2.3125
2021-01-01 18:00:00,2021-01-01 19:00:00,7.287,2.25
2021-01-01 18:00:00,2021-01-01 20:00:00,8.117,2.5
2021-01-01 18:00:00,2021-01-01 21:00:00,11.574,2.25
2021-01-01 18:00:00,2021-01-01 22:00:00,15.502,2.1874905
2021-01-01 18:00:00,2021-01-01 23:00:00,12.073,2.3125112
2021-01-01 18:00:00,2021-01-02 00:00:00,9.832,2.562493
2021-01-01 18:00:00,2021-01-02 01:00:00,10.531,2.8125
2021-01-01 18:00:00,2021-01-02 02:00:00,11.277,2.8125
2021-01-01 18:00:00,2021-01-02 03:00:00,11.341,2.7500093
2021-01-01 18:00:00,2021-01-02 04:00:00,7.244,2.6875138
2021-01-01 18:00:00,2021-01-02 05:00:00,7.302,2.562493
2021-01-02 00:00:00,2021-01-02 00:00:00,9.832,2.124995
2021-01-02 00:00:00,2021-01-02 01:00:00,10.531,2.4999976
2021-01-02 00:00:00,2021-01-02 02:00:00,11.277,2.5
2021-01-02 00:00:00,2021-01-02 03:00:00,11.341,2.6249886
2021-01-02 00:00:00,2021-01-02 04:00:00,7.244,2.4375021
2021-01-02 00:00:00,2021-01-02 05:00:00,7.302,2.1874905
2021-01-02 00:00:00,2021-01-02 06:00:00,5.513,2.249986
2021-01-02 00:00:00,2021-01-02 07:00:00,5.509,2.249986
2021-01-02 00:00:00,2021-01-02 08:00:00,6.418,2.0624995
2021-01-02 00:00:00,2021-01-02 09:00:00,5.207,1.8750131
2021-01-02 00:00:00,2021-01-02 10:00:00,4.324,1.9375
2021-01-02 00:00:00,2021-01-02 11:00:00,3.527,1.9375
2021-01-02 06:00:00,2021-01-02 06:00:00,5.513,1.8124878
2021-01-02 06:00:00,2021-01-02 07:00:00,5.509,1.9375086
2021-01-02 06:00:00,2021-01-02 08:00:00,6.418,1.9375086
2021-01-02 06:00:00,2021-01-02 09:00:00,5.207,1.8750131
2021-01-02 06:00:00,2021-01-02 10:00:00,4.324,1.7499924
2021-01-02 06:00:00,2021-01-02 11:00:00,3.527,1.75
2021-01-02 06:00:00,2021-01-02 12:00:00,2.335,1.6875
2021-01-02 06:00:00,2021-01-02 13:00:00,4.211,1.625
2021-01-02 06:00:00,2021-01-02 14:00:00,5.981,1.625
2021-01-02 06:00:00,2021-01-02 15:00:00,8.473,1.9375
2021-01-02 06:00:00,2021-01-02 16:00:00,8.266,2.3750067
