ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,2.94,6.4375105
2021-01-01 00:00:00,2021-01-01 01:00:00,2.653,6.4375105
2021-01-01 00:00:00,2021-01-01 02:00:00,2.045,5.9374866
2021-01-01 00:00:00,2021-01-01 03:00:00,1.557,4.999995
2021-01-01 00:00:00,2021-01-01 04:00:00,0.8340000000000001,4.1875
2021-01-01 00:00:00,2021-01-01 05:00:00,0.871,3.75
2021-01-01 00:00:00,2021-01-01 06:00:00,0.782,3.875
2021-01-01 00:00:00,2021-01-01 07:00:00,0.865,4.062504
2021-01-01 00:00:00,2021-01-01 08:00:00,0.896,4.1874943
2021-01-01 00:00:00,2021-01-01 09:00:00,0.71,4.1874943
2021-01-01 00:00:00,2021-01-01 10:00:00,0.243,3.5000145
2021-01-01 00:00:00,2021-01-01 11:00:00,0.419,2.9374957
2021-01-01 06:00:00,2021-01-01 06:00:00,0.782,4.9375
2021-01-01 06:00:00,2021-01-01 07:00:00,0.865,5.0
2021-01-01 06:00:00,2021-01-01 08:00:00,0.896,4.6249924
2021-01-01 06:00:00,2021-01-01 09:00:00,0.71,4.3124857
2021-01-01 06:00:00,2021-01-01 10:00:00,0.243,4.124999
2021-01-01 06:00:00,2021-01-01 11:00:00,0.419,4.0625
2021-01-01 06:00:00,2021-01-01 12:00:00,0.298,3.9375126
2021-01-01 06:00:00,2021-01-01 13:00:00,0.024,2.9374957
2021-01-01 06:00:00,2021-01-01 14:00:00,0.0,1.8750131
2021-01-01 06:00:00,2021-01-01 15:00:00,0.0,1.3124943
2021-01-01 06:00:00,2021-01-01 16:00:00,0.0,1.6250014
2021-01-01 06:00:00,2021-01-01 17:00:00,0.0,1.0625
2021-01-01 12:00:00,2021-01-01 12:00:00,0.298,3.0624866
2021-01-01 12:00:00,2021-01-01 13:00:00,0.024,2.3750067
2021-01-01 12:00:00,2021-01-01 14:00:00,0.0,1.6250014
2021-01-01 12:00:00,2021-01-01 15:00:00,0.0,0.8749962
2021-01-01 12:00:00,2021-01-01 16:00:00,0.0,0.75000525
2021-01-01 12:00:00,2021-01-01 17:00:00,0.0,0.8125
2021-01-01 12:00:00,2021-01-01 18:00:00,0.415,0.4375
2021-01-01 12:00:00,2021-01-01 19:00:00,0.806,1.125
2021-01-01 12:00:00,2021-01-01 20:00:00,0.6839999999999999,1.5625
2021-01-01 12:00:00,2021-01-01 21:00:00,0.458,2.5625
2021-01-01 12:00:00,2021-01-01 22:00:00,0.742,3.4375
2021-01-01 12:00:00,2021-01-01 23:00:00,3.593,4.5
2021-01-01 18:00:00,2021-01-01 18:00:00,0.415,2.75
2021-01-01 18:00:00,2021-01-01 19:00:00,0.806,2.625
2021-01-01 18:00:00,2021-01-01 20:00:00,0.6839999999999999,2.6875
2021-01-01 18:00:00,2021-01-01 21:00:00,0.458,2.75
2021-01-01 18:00:00,2021-01-01 22:00:00,0.742,3.1875074
2021-01-01 18:00:00,2021-01-01 23:00:00,3.593,4.562497
2021-01-01 18:00:00,2021-01-02 00:00:00,4.25,6.0625076
2021-01-01 18:00:00,2021-01-02 01:00:00,4.775,7.25
2021-01-01 18:00:00,2021-01-02 02:00:00,3.128,7.125
2021-01-01 18:00:00,2021-01-02 03:00:00,4.672,5.1875114
2021-01-01 18:00:00,2021-01-02 04:00:00,3.742,1.8124878
2021-01-01 18:00:00,2021-01-02 05:00:00,2.581,0.4374981
