ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,0.1,1.5000105
2021-01-01 00:00:00,2021-01-01 01:00:00,0.95,1.1250079
2021-01-01 00:00:00,2021-01-01 02:00:00,0.15,1.0625124
2021-01-01 00:00:00,2021-01-01 03:00:00,0.0,1.0625124
2021-01-01 00:00:00,2021-01-01 04:00:00,0.05,0.75
2021-01-01 00:00:00,2021-01-01 05:00:00,0.05,0.75
2021-01-01 00:00:00,2021-01-01 06:00:00,0.05,1.125
2021-01-01 00:00:00,2021-01-01 07:00:00,0.0,1.1875033000000002
2021-01-01 00:00:00,2021-01-01 08:00:00,0.0,1.5000105
2021-01-01 00:00:00,2021-01-01 09:00:00,0.2,1.5000105
2021-01-01 00:00:00,2021-01-01 10:00:00,0.05,1.5000105
2021-01-01 00:00:00,2021-01-01 11:00:00,0.2,1.2499988000000002
2021-01-01 06:00:00,2021-01-01 06:00:00,0.05,0.9375
2021-01-01 06:00:00,2021-01-01 07:00:00,0.0,1.4375
2021-01-01 06:00:00,2021-01-01 08:00:00,0.0,1.4374851999999998
2021-01-01 06:00:00,2021-01-01 09:00:00,0.2,1.5000105
2021-01-01 06:00:00,2021-01-01 10:00:00,0.05,1.3749897
2021-01-01 06:00:00,2021-01-01 11:00:00,0.2,1.125
2021-01-01 06:00:00,2021-01-01 12:00:00,0.0,1.3749897
2021-01-01 06:00:00,2021-01-01 13:00:00,0.0,1.1875033000000002
2021-01-01 06:00:00,2021-01-01 14:00:00,0.0,1.562506
2021-01-01 06:00:00,2021-01-01 15:00:00,0.0,2.000004
2021-01-01 06:00:00,2021-01-01 16:00:00,0.0,2.3125112
2021-01-01 06:00:00,2021-01-01 17:00:00,0.0,2.25
2021-01-01 12:00:00,2021-01-01 12:00:00,0.0,0.4374981
2021-01-01 12:00:00,2021-01-01 13:00:00,0.0,0.18748641
2021-01-01 12:00:00,2021-01-01 14:00:00,0.0,1.0625124
2021-01-01 12:00:00,2021-01-01 15:00:00,0.0,1.562506
2021-01-01 12:00:00,2021-01-01 16:00:00,0.0,1.7499924
2021-01-01 12:00:00,2021-01-01 17:00:00,0.0,1.6875
2021-01-01 12:00:00,2021-01-01 18:00:00,0.25,2.5
2021-01-01 12:00:00,2021-01-01 19:00:00,0.0,2.5
2021-01-01 12:00:00,2021-01-01 20:00:00,0.0,2.3125
2021-01-01 12:00:00,2021-01-01 21:00:00,0.0,2.4375
2021-01-01 12:00:00,2021-01-01 22:00:00,0.0,2.3125
2021-01-01 12:00:00,2021-01-01 23:00:00,0.0,2.25
2021-01-01 18:00:00,2021-01-01 18:00:00,0.25,1.875
2021-01-01 18:00:00,2021-01-01 19:00:00,0.0,1.5
2021-01-01 18:00:00,2021-01-01 20:00:00,0.0,1.75
2021-01-01 18:00:00,2021-01-01 21:00:00,0.0,2.0625
2021-01-01 18:00:00,2021-01-01 22:00:00,0.0,2.124995
2021-01-01 18:00:00,2021-01-01 23:00:00,0.0,2.3750067
2021-01-01 18:00:00,2021-01-02 00:00:00,0.0,2.562493
2021-01-01 18:00:00,2021-01-02 01:00:00,0.0,2.4375
2021-01-01 18:00:00,2021-01-02 02:00:00,0.1,2.1875
2021-01-01 18:00:00,2021-01-02 03:00:00,0.1,1.9375086
2021-01-01 18:00:00,2021-01-02 04:00:00,0.0,1.9375086
2021-01-01 18:00:00,2021-01-02 05:00:00,0.0,2.2499860000000003
2021-01-02 00:00:00,2021-01-02 00:00:00,0.0,2.2499860000000003
2021-01-02 00:00:00,2021-01-02 01:00:00,0.0,2.3125112
2021-01-02 00:00:00,2021-01-02 02:00:00,0.1,2.25
2021-01-02 00:00:00,2021-01-02 03:00:00,0.1,1.9375086
2021-01-02 00:00:00,2021-01-02 04:00:00,0.0,1.6874968999999997
2021-01-02 00:00:00,2021-01-02 05:00:00,0.0,1.8750131
2021-01-02 00:00:00,2021-01-02 06:00:00,0.0,2.124995
2021-01-02 00:00:00,2021-01-02 07:00:00,0.1,2.3750067
2021-01-02 00:00:00,2021-01-02 08:00:00,1.1,2.3750067
2021-01-02 00:00:00,2021-01-02 09:00:00,4.35,2.2499860000000003
2021-01-02 00:00:00,2021-01-02 10:00:00,5.0,2.1875
2021-01-02 00:00:00,2021-01-02 11:00:00,4.4,2.1875
2021-01-02 06:00:00,2021-01-02 06:00:00,0.0,1.7499924
2021-01-02 06:00:00,2021-01-02 07:00:00,0.1,1.6874968999999997
2021-01-02 06:00:00,2021-01-02 08:00:00,1.1,1.3124943
2021-01-02 06:00:00,2021-01-02 09:00:00,4.35,1.5000105
2021-01-02 06:00:00,2021-01-02 10:00:00,5.0,1.6250014
2021-01-02 06:00:00,2021-01-02 11:00:00,4.4,1.6875
2021-01-02 06:00:00,2021-01-02 12:00:00,5.0,2.125
2021-01-02 06:00:00,2021-01-02 13:00:00,1.55,2.3125
2021-01-02 06:00:00,2021-01-02 14:00:00,20.2,2.25
2021-01-02 06:00:00,2021-01-02 15:00:00,32.25,2.0
2021-01-02 06:00:00,2021-01-02 16:00:00,30.95,2.000004
2021-01-02 06:00:00,2021-01-02 17:00:00,26.05,1.8124878
2021-01-02 12:00:00,2021-01-02 12:00:00,5.0,1.625
2021-01-02 12:00:00,2021-01-02 13:00:00,1.55,1.3750076
2021-01-02 12:00:00,2021-01-02 14:00:00,20.2,1.7499924
2021-01-02 12:00:00,2021-01-02 15:00:00,32.25,2.0625
2021-01-02 12:00:00,2021-01-02 16:00:00,30.95,1.9375
2021-01-02 12:00:00,2021-01-02 17:00:00,26.05,1.6874968999999997
2021-01-02 12:00:00,2021-01-02 18:00:00,22.55,1.4375
2021-01-02 12:00:00,2021-01-02 19:00:00,24.6,1.5625
2021-01-02 12:00:00,2021-01-02 20:00:00,24.85,1.6250014
2021-01-02 12:00:00,2021-01-02 21:00:00,30.9,2.000004
2021-01-02 12:00:00,2021-01-02 22:00:00,31.35,1.8750131
2021-01-02 12:00:00,2021-01-02 23:00:00,29.25,1.8124878
2021-01-02 18:00:00,2021-01-02 18:00:00,22.55,1.1875033000000002
2021-01-02 18:00:00,2021-01-02 19:00:00,24.6,0.75000525
2021-01-02 18:00:00,2021-01-02 20:00:00,24.85,0.8749962
2021-01-02 18:00:00,2021-01-02 21:00:00,30.9,0.6875098000000001
2021-01-02 18:00:00,2021-01-02 22:00:00,31.35,1.8750131
2021-01-02 18:00:00,2021-01-02 23:00:00,29.25,2.1874905
2021-01-02 18:00:00,2021-01-03 00:00:00,21.0,1.8124878
2021-01-02 18:00:00,2021-01-03 01:00:00,18.85,1.562506
2021-01-02 18:00:00,2021-01-03 02:00:00,10.2,1.5000105
2021-01-02 18:00:00,2021-01-03 03:00:00,7.0,1.8124878
2021-01-02 18:00:00,2021-01-03 04:00:00,11.8,2.000004
2021-01-02 18:00:00,2021-01-03 05:00:00,15.7,2.000004
2021-01-03 00:00:00,2021-01-03 00:00:00,21.0,1.1875033000000002
2021-01-03 00:00:00,2021-01-03 01:00:00,18.85,0.9999870999999999
2021-01-03 00:00:00,2021-01-03 02:00:00,10.2,1.562506
2021-01-03 00:00:00,2021-01-03 03:00:00,7.0,1.1875033000000002
2021-01-03 00:00:00,2021-01-03 04:00:00,11.8,1.3749897
2021-01-03 00:00:00,2021-01-03 05:00:00,15.7,1.6250014
2021-01-03 00:00:00,2021-01-03 06:00:00,8.45,1.6874968999999997
2021-01-03 00:00:00,2021-01-03 07:00:00,8.5,1.6250014
2021-01-03 00:00:00,2021-01-03 08:00:00,11.7,1.8750131
2021-01-03 00:00:00,2021-01-03 09:00:00,9.5,2.0624995
2021-01-03 00:00:00,2021-01-03 10:00:00,4.800000000000002,1.6250014
2021-01-03 00:00:00,2021-01-03 11:00:00,4.25,1.7499924
2021-01-03 06:00:00,2021-01-03 06:00:00,8.45,1.2499988000000002
2021-01-03 06:00:00,2021-01-03 07:00:00,8.5,1.3124943
2021-01-03 06:00:00,2021-01-03 08:00:00,11.7,1.6874968999999997
2021-01-03 06:00:00,2021-01-03 09:00:00,9.5,1.2499988000000002
2021-01-03 06:00:00,2021-01-03 10:00:00,4.800000000000002,1.562506
2021-01-03 06:00:00,2021-01-03 11:00:00,4.25,1.4374851999999998
2021-01-03 06:00:00,2021-01-03 12:00:00,2.4,1.1250079
2021-01-03 06:00:00,2021-01-03 13:00:00,0.7999999999999999,1.1875033000000002
2021-01-03 06:00:00,2021-01-03 14:00:00,1.75,1.2499988000000002
2021-01-03 06:00:00,2021-01-03 15:00:00,0.65,1.2499988000000002
2021-01-03 06:00:00,2021-01-03 16:00:00,0.1,1.6250014
2021-01-03 06:00:00,2021-01-03 17:00:00,1.6,1.6250014
2021-01-03 12:00:00,2021-01-03 12:00:00,2.4,1.3124943
2021-01-03 12:00:00,2021-01-03 13:00:00,0.7999999999999999,0.8125007
2021-01-03 12:00:00,2021-01-03 14:00:00,1.75,1.5000105
2021-01-03 12:00:00,2021-01-03 15:00:00,0.65,1.1875033000000002
2021-01-03 12:00:00,2021-01-03 16:00:00,0.1,1.1875033000000002
2021-01-03 12:00:00,2021-01-03 17:00:00,1.6,1.1875033000000002
2021-01-03 12:00:00,2021-01-03 18:00:00,7.050000000000002,1.562506
2021-01-03 12:00:00,2021-01-03 19:00:00,8.600000000000001,1.5000105
2021-01-03 12:00:00,2021-01-03 20:00:00,13.5,1.5000105
2021-01-03 12:00:00,2021-01-03 21:00:00,6.1,1.6250014
2021-01-03 12:00:00,2021-01-03 22:00:00,3.95,1.7499924
2021-01-03 12:00:00,2021-01-03 23:00:00,3.05,1.9375086
2021-01-03 18:00:00,2021-01-03 18:00:00,7.050000000000002,0.75000525
2021-01-03 18:00:00,2021-01-03 19:00:00,8.600000000000001,0.93749166
2021-01-03 18:00:00,2021-01-03 20:00:00,13.5,1.1875033000000002
2021-01-03 18:00:00,2021-01-03 21:00:00,6.1,0.93749166
2021-01-03 18:00:00,2021-01-03 22:00:00,3.95,1.3749897
2021-01-03 18:00:00,2021-01-03 23:00:00,3.05,1.3749897
2021-01-03 18:00:00,2021-01-04 00:00:00,2.05,1.3124943
2021-01-03 18:00:00,2021-01-04 01:00:00,1.45,1.3124943
2021-01-03 18:00:00,2021-01-04 02:00:00,4.65,1.1250079
2021-01-03 18:00:00,2021-01-04 03:00:00,1.45,1.3124943
2021-01-03 18:00:00,2021-01-04 04:00:00,0.7,1.6250014
2021-01-03 18:00:00,2021-01-04 05:00:00,1.0,1.6250014
2021-01-04 00:00:00,2021-01-04 00:00:00,2.05,0.75000525
2021-01-04 00:00:00,2021-01-04 01:00:00,1.45,0.75000525
2021-01-04 00:00:00,2021-01-04 02:00:00,4.65,0.75000525
