ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,17.82,2.0624995
2021-01-01 00:00:00,2021-01-01 01:00:00,19.44,1.9375086
2021-01-01 00:00:00,2021-01-01 02:00:00,40.14,1.562506
2021-01-01 00:00:00,2021-01-01 03:00:00,55.26,1.2499988
2021-01-01 00:00:00,2021-01-01 04:00:00,26.46,1.1875
2021-01-01 00:00:00,2021-01-01 05:00:00,26.64,1.3125
2021-01-01 00:00:00,2021-01-01 06:00:00,38.34,1.3125
2021-01-01 00:00:00,2021-01-01 07:00:00,42.66,1.3124943
2021-01-01 00:00:00,2021-01-01 08:00:00,29.34,1.4374852
2021-01-01 00:00:00,2021-01-01 09:00:00,24.12,1.562506
2021-01-01 00:00:00,2021-01-01 10:00:00,24.12,1.5000105
2021-01-01 00:00:00,2021-01-01 11:00:00,19.8,1.6250014
2021-01-01 06:00:00,2021-01-01 06:00:00,38.34,0.5
2021-01-01 06:00:00,2021-01-01 07:00:00,42.66,0.25
2021-01-01 06:00:00,2021-01-01 08:00:00,29.34,0.49999356
2021-01-01 06:00:00,2021-01-01 09:00:00,24.12,1.2499988
2021-01-01 06:00:00,2021-01-01 10:00:00,24.12,1.6874969
2021-01-01 06:00:00,2021-01-01 11:00:00,19.8,1.5
2021-01-01 06:00:00,2021-01-01 12:00:00,21.24,1.9375086
2021-01-01 06:00:00,2021-01-01 13:00:00,33.48,2.1874905
2021-01-01 06:00:00,2021-01-01 14:00:00,51.84,2.4375021
2021-01-01 06:00:00,2021-01-01 15:00:00,54.0,2.4999976
2021-01-01 06:00:00,2021-01-01 16:00:00,63.18,2.6875138
2021-01-01 06:00:00,2021-01-01 17:00:00,100.26,3.125
2021-01-01 12:00:00,2021-01-01 12:00:00,21.24,1.2499988
2021-01-01 12:00:00,2021-01-01 13:00:00,33.48,1.1875033
2021-01-01 12:00:00,2021-01-01 14:00:00,51.84,1.1250079
2021-01-01 12:00:00,2021-01-01 15:00:00,54.0,1.2499988
2021-01-01 12:00:00,2021-01-01 16:00:00,63.18,1.6874969
2021-01-01 12:00:00,2021-01-01 17:00:00,100.26,2.6875
2021-01-01 12:00:00,2021-01-01 18:00:00,99.72,2.9375
2021-01-01 12:00:00,2021-01-01 19:00:00,117.54,3.375
2021-01-01 12:00:00,2021-01-01 20:00:00,146.16,3.875
2021-01-01 12:00:00,2021-01-01 21:00:00,160.56,4.125
2021-01-01 12:00:00,2021-01-01 22:00:00,184.14,4.125
2021-01-01 12:00:00,2021-01-01 23:00:00,227.7,4.25
2021-01-01 18:00:00,2021-01-01 18:00:00,99.72,2.8125
2021-01-01 18:00:00,2021-01-01 19:00:00,117.54,3.125
2021-01-01 18:00:00,2021-01-01 20:00:00,146.16,3.75
2021-01-01 18:00:00,2021-01-01 21:00:00,160.56,4.375
2021-01-01 18:00:00,2021-01-01 22:00:00,184.14,4.500002
2021-01-01 18:00:00,2021-01-01 23:00:00,227.7,4.562497
2021-01-01 18:00:00,2021-01-02 00:00:00,237.78,5.0624905
2021-01-01 18:00:00,2021-01-02 01:00:00,237.78,5.3125
2021-01-01 18:00:00,2021-01-02 02:00:00,229.5,5.3125
2021-01-01 18:00:00,2021-01-02 03:00:00,191.52,5.4999886
2021-01-01 18:00:00,2021-01-02 04:00:00,181.08,5.124986
2021-01-01 18:00:00,2021-01-02 05:00:00,172.62,4.6249924
2021-01-02 00:00:00,2021-01-02 00:00:00,237.78,6.125003
2021-01-02 00:00:00,2021-01-02 01:00:00,237.78,5.9374866
2021-01-02 00:00:00,2021-01-02 02:00:00,229.5,5.75
2021-01-02 00:00:00,2021-01-02 03:00:00,191.52,5.4999886
2021-01-02 00:00:00,2021-01-02 04:00:00,181.08,5.3125024
