ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,2.734,2.7500093
2021-01-01 00:00:00,2021-01-01 01:00:00,2.592,2.562493
2021-01-01 00:00:00,2021-01-01 02:00:00,3.639,2.3125112
2021-01-01 00:00:00,2021-01-01 03:00:00,2.195,2.0624995
2021-01-01 00:00:00,2021-01-01 04:00:00,1.633,2.0
2021-01-01 00:00:00,2021-01-01 05:00:00,1.426,2.125
2021-01-01 00:00:00,2021-01-01 06:00:00,0.961,2.0625
2021-01-01 00:00:00,2021-01-01 07:00:00,1.679,2.0624995
2021-01-01 00:00:00,2021-01-01 08:00:00,1.911,2.000004
2021-01-01 00:00:00,2021-01-01 09:00:00,1.679,2.000004
2021-01-01 00:00:00,2021-01-01 10:00:00,1.475,1.9375086
2021-01-01 00:00:00,2021-01-01 11:00:00,1.027,2.1874905
2021-01-01 06:00:00,2021-01-01 06:00:00,0.961,1.3125
2021-01-01 06:00:00,2021-01-01 07:00:00,1.679,1.25
2021-01-01 06:00:00,2021-01-01 08:00:00,1.911,1.0625124
2021-01-01 06:00:00,2021-01-01 09:00:00,1.679,1.5000105
2021-01-01 06:00:00,2021-01-01 10:00:00,1.475,1.562506
2021-01-01 06:00:00,2021-01-01 11:00:00,1.027,1.75
2021-01-01 06:00:00,2021-01-01 12:00:00,1.109,2.3125112
2021-01-01 06:00:00,2021-01-01 13:00:00,1.45,2.8125048
2021-01-01 06:00:00,2021-01-01 14:00:00,1.676,2.9999912
2021-01-01 06:00:00,2021-01-01 15:00:00,1.5,2.8125048
2021-01-01 06:00:00,2021-01-01 16:00:00,2.201,2.9374957
2021-01-01 06:00:00,2021-01-01 17:00:00,5.562,3.1875
2021-01-01 12:00:00,2021-01-01 12:00:00,1.109,1.9375086
2021-01-01 12:00:00,2021-01-01 13:00:00,1.45,2.249986
2021-01-01 12:00:00,2021-01-01 14:00:00,1.676,2.249986
2021-01-01 12:00:00,2021-01-01 15:00:00,1.5,2.000004
2021-01-01 12:00:00,2021-01-01 16:00:00,2.201,2.3750067
2021-01-01 12:00:00,2021-01-01 17:00:00,5.562,3.0
2021-01-01 12:00:00,2021-01-01 18:00:00,7.512,3.25
2021-01-01 12:00:00,2021-01-01 19:00:00,9.962,3.5625
2021-01-01 12:00:00,2021-01-01 20:00:00,9.915,3.875
2021-01-01 12:00:00,2021-01-01 21:00:00,12.155,4.0
2021-01-01 12:00:00,2021-01-01 22:00:00,12.334,4.0625
2021-01-01 12:00:00,2021-01-01 23:00:00,12.04,4.25
2021-01-01 18:00:00,2021-01-01 18:00:00,7.512,3.8125
2021-01-01 18:00:00,2021-01-01 19:00:00,9.962,4.125
2021-01-01 18:00:00,2021-01-01 20:00:00,9.915,4.125
2021-01-01 18:00:00,2021-01-01 21:00:00,12.155,4.125
2021-01-01 18:00:00,2021-01-01 22:00:00,12.334,4.124999
2021-01-01 18:00:00,2021-01-01 23:00:00,12.04,4.1874943
2021-01-01 18:00:00,2021-01-02 00:00:00,11.956,4.562497
2021-01-01 18:00:00,2021-01-02 01:00:00,12.238,4.6875
2021-01-01 18:00:00,2021-01-02 02:00:00,9.882,4.8125
2021-01-01 18:00:00,2021-01-02 03:00:00,7.274,4.8125086
2021-01-01 18:00:00,2021-01-02 04:00:00,6.92,4.3750105
2021-01-01 18:00:00,2021-01-02 05:00:00,6.932,4.062504
2021-01-02 00:00:00,2021-01-02 00:00:00,11.956,5.4374933
2021-01-02 00:00:00,2021-01-02 01:00:00,12.238,5.1875114
2021-01-02 00:00:00,2021-01-02 02:00:00,9.882,4.9375
2021-01-02 00:00:00,2021-01-02 03:00:00,7.274,4.687488
2021-01-02 00:00:00,2021-01-02 04:00:00,6.92,4.6249924
2021-01-02 00:00:00,2021-01-02 05:00:00,6.932,4.6249924
2021-01-02 00:00:00,2021-01-02 06:00:00,7.574,4.500002
2021-01-02 00:00:00,2021-01-02 07:00:00,5.955,4.3750105
2021-01-02 00:00:00,2021-01-02 08:00:00,6.227,3.9375126
2021-01-02 00:00:00,2021-01-02 09:00:00,3.139,3.1875074
2021-01-02 00:00:00,2021-01-02 10:00:00,3.223,2.75
2021-01-02 00:00:00,2021-01-02 11:00:00,3.62,2.5625
2021-01-02 06:00:00,2021-01-02 06:00:00,7.574,4.124999
2021-01-02 06:00:00,2021-01-02 07:00:00,5.955,3.0624866
2021-01-02 06:00:00,2021-01-02 08:00:00,6.227,2.6875138
2021-01-02 06:00:00,2021-01-02 09:00:00,3.139,2.7500093
2021-01-02 06:00:00,2021-01-02 10:00:00,3.223,2.6875138
2021-01-02 06:00:00,2021-01-02 11:00:00,3.62,2.5
2021-01-02 06:00:00,2021-01-02 12:00:00,1.977,2.375
2021-01-02 06:00:00,2021-01-02 13:00:00,2.232,2.375
2021-01-02 06:00:00,2021-01-02 14:00:00,1.87,2.25
2021-01-02 06:00:00,2021-01-02 15:00:00,1.691,2.0
2021-01-02 06:00:00,2021-01-02 16:00:00,1.948,1.9375086
2021-01-02 06:00:00,2021-01-02 17:00:00,0.728,1.8124878
2021-01-02 12:00:00,2021-01-02 12:00:00,1.977,2.4375
2021-01-02 12:00:00,2021-01-02 13:00:00,2.232,1.9999981
2021-01-02 12:00:00,2021-01-02 14:00:00,1.87,2.0625114
2021-01-02 12:00:00,2021-01-02 15:00:00,1.691,1.9375
2021-01-02 12:00:00,2021-01-02 16:00:00,1.948,1.6875
2021-01-02 12:00:00,2021-01-02 17:00:00,0.728,1.7499924
2021-01-02 12:00:00,2021-01-02 18:00:00,0.259,1.8125
2021-01-02 12:00:00,2021-01-02 19:00:00,0.008,1.9375
2021-01-02 12:00:00,2021-01-02 20:00:00,0.0,1.8750131
2021-01-02 12:00:00,2021-01-02 21:00:00,0.0,1.8124878
2021-01-02 12:00:00,2021-01-02 22:00:00,0.0,1.6874969
2021-01-02 12:00:00,2021-01-02 23:00:00,0.0,1.6250014
2021-01-02 18:00:00,2021-01-02 18:00:00,0.259,1.6874969
2021-01-02 18:00:00,2021-01-02 19:00:00,0.008,1.9375086
2021-01-02 18:00:00,2021-01-02 20:00:00,0.0,1.6874969
2021-01-02 18:00:00,2021-01-02 21:00:00,0.0,1.562506
2021-01-02 18:00:00,2021-01-02 22:00:00,0.0,1.6874969
2021-01-02 18:00:00,2021-01-02 23:00:00,0.0,1.7499924
2021-01-02 18:00:00,2021-01-03 00:00:00,0.0,1.8124878
2021-01-02 18:00:00,2021-01-03 01:00:00,0.0,1.7499924
2021-01-02 18:00:00,2021-01-03 02:00:00,0.0,1.8124878
