ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,81.83,5.9374866
2021-01-01 00:00:00,2021-01-01 01:00:00,84.42,5.374998
2021-01-01 00:00:00,2021-01-01 02:00:00,83.53,4.999995
2021-01-01 00:00:00,2021-01-01 03:00:00,77.1,4.1874943
2021-01-01 00:00:00,2021-01-01 04:00:00,65.79,3.75
2021-01-01 00:00:00,2021-01-01 05:00:00,83.68,3.5625
2021-01-01 00:00:00,2021-01-01 06:00:00,81.0,3.375
2021-01-01 00:00:00,2021-01-01 07:00:00,77.23,3.56251
2021-01-01 00:00:00,2021-01-01 08:00:00,80.44,3.3124983
2021-01-01 00:00:00,2021-01-01 09:00:00,65.99,3.2500029
2021-01-01 00:00:00,2021-01-01 10:00:00,58.46,3.0624866
2021-01-01 00:00:00,2021-01-01 11:00:00,42.57,3.2500029
2021-01-01 06:00:00,2021-01-01 06:00:00,81.0,5.0625
2021-01-01 06:00:00,2021-01-01 07:00:00,77.23,4.375
2021-01-01 06:00:00,2021-01-01 08:00:00,80.44,3.3124983
2021-01-01 06:00:00,2021-01-01 09:00:00,65.99,2.9374957
2021-01-01 06:00:00,2021-01-01 10:00:00,58.46,3.0624866
2021-01-01 06:00:00,2021-01-01 11:00:00,42.57,3.1875
2021-01-01 06:00:00,2021-01-01 12:00:00,34.22,3.3749938
2021-01-01 06:00:00,2021-01-01 13:00:00,16.34,3.56251
2021-01-01 06:00:00,2021-01-01 14:00:00,12.55,3.56251
2021-01-01 06:00:00,2021-01-01 15:00:00,3.28,2.9999912
2021-01-01 06:00:00,2021-01-01 16:00:00,1.2,2.8125048
2021-01-01 06:00:00,2021-01-01 17:00:00,0.01,2.6875
2021-01-01 12:00:00,2021-01-01 12:00:00,34.22,2.8125048
2021-01-01 12:00:00,2021-01-01 13:00:00,16.34,3.125012
2021-01-01 12:00:00,2021-01-01 14:00:00,12.55,3.0624866
2021-01-01 12:00:00,2021-01-01 15:00:00,3.28,2.562493
2021-01-01 12:00:00,2021-01-01 16:00:00,1.2,2.3750067
2021-01-01 12:00:00,2021-01-01 17:00:00,0.01,2.25
2021-01-01 12:00:00,2021-01-01 18:00:00,0.0,2.25
2021-01-01 12:00:00,2021-01-01 19:00:00,0.0,2.25
2021-01-01 12:00:00,2021-01-01 20:00:00,0.0,2.25
2021-01-01 12:00:00,2021-01-01 21:00:00,0.0,2.125
2021-01-01 12:00:00,2021-01-01 22:00:00,0.0,2.0625
2021-01-01 12:00:00,2021-01-01 23:00:00,0.0,1.875
2021-01-01 18:00:00,2021-01-01 18:00:00,0.0,2.125
2021-01-01 18:00:00,2021-01-01 19:00:00,0.0,2.125
2021-01-01 18:00:00,2021-01-01 20:00:00,0.0,1.9375
