ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,,2.1874905
2021-01-01 00:00:00,2021-01-01 01:00:00,,2.1874905
2021-01-01 00:00:00,2021-01-01 02:00:00,,2.1874905
2021-01-01 00:00:00,2021-01-01 03:00:00,,2.000004
2021-01-01 00:00:00,2021-01-01 04:00:00,,1.875
2021-01-01 00:00:00,2021-01-01 05:00:00,,2.0
2021-01-01 00:00:00,2021-01-01 06:00:00,,2.0625
2021-01-01 00:00:00,2021-01-01 07:00:00,,2.1874905
2021-01-01 00:00:00,2021-01-01 08:00:00,,2.1874905
2021-01-01 00:00:00,2021-01-01 09:00:00,,2.4999976
2021-01-01 00:00:00,2021-01-01 10:00:00,,2.8750002
2021-01-01 00:00:00,2021-01-01 11:00:00,,2.9374957
2021-01-01 06:00:00,2021-01-01 06:00:00,,1.75
2021-01-01 06:00:00,2021-01-01 07:00:00,,1.6875
2021-01-01 06:00:00,2021-01-01 08:00:00,,1.3124943
2021-01-01 06:00:00,2021-01-01 09:00:00,,1.6250014
2021-01-01 06:00:00,2021-01-01 10:00:00,,2.124995
2021-01-01 06:00:00,2021-01-01 11:00:00,,2.0625
2021-01-01 06:00:00,2021-01-01 12:00:00,,2.8125048
2021-01-01 06:00:00,2021-01-01 13:00:00,,3.5000145
2021-01-01 06:00:00,2021-01-01 14:00:00,,3.687501
2021-01-01 06:00:00,2021-01-01 15:00:00,,3.2500029
2021-01-01 06:00:00,2021-01-01 16:00:00,,3.4374893
2021-01-01 06:00:00,2021-01-01 17:00:00,,3.5
2021-01-01 12:00:00,2021-01-01 12:00:00,,2.249986
2021-01-01 12:00:00,2021-01-01 13:00:00,,3.0624866
2021-01-01 12:00:00,2021-01-01 14:00:00,,3.1875074
2021-01-01 12:00:00,2021-01-01 15:00:00,,2.3750067
2021-01-01 12:00:00,2021-01-01 16:00:00,,2.3750067
2021-01-01 12:00:00,2021-01-01 17:00:00,,3.0
2021-01-01 12:00:00,2021-01-01 18:00:00,,3.6875
2021-01-01 12:00:00,2021-01-01 19:00:00,,4.375
2021-01-01 12:00:00,2021-01-01 20:00:00,,4.5625
2021-01-01 12:00:00,2021-01-01 21:00:00,,4.5
2021-01-01 12:00:00,2021-01-01 22:00:00,,4.5
2021-01-01 12:00:00,2021-01-01 23:00:00,,4.5625
2021-01-01 18:00:00,2021-01-01 18:00:00,,4.1875
2021-01-01 18:00:00,2021-01-01 19:00:00,,5.3125
2021-01-01 18:00:00,2021-01-01 20:00:00,,5.5
2021-01-01 18:00:00,2021-01-01 21:00:00,,5.125
2021-01-01 18:00:00,2021-01-01 22:00:00,,4.8125086
2021-01-01 18:00:00,2021-01-01 23:00:00,,4.9375
2021-01-01 18:00:00,2021-01-02 00:00:00,,4.9375
2021-01-01 18:00:00,2021-01-02 01:00:00,,5.125
2021-01-01 18:00:00,2021-01-02 02:00:00,,5.25
2021-01-01 18:00:00,2021-01-02 03:00:00,,4.999995
2021-01-01 18:00:00,2021-01-02 04:00:00,,4.500002
2021-01-01 18:00:00,2021-01-02 05:00:00,,3.812492
2021-01-02 00:00:00,2021-01-02 00:00:00,,5.7500005
2021-01-02 00:00:00,2021-01-02 01:00:00,,5.7500005
2021-01-02 00:00:00,2021-01-02 02:00:00,,5.4375
2021-01-02 00:00:00,2021-01-02 03:00:00,,5.2500067
2021-01-02 00:00:00,2021-01-02 04:00:00,,4.9375
2021-01-02 00:00:00,2021-01-02 05:00:00,,4.687488
2021-01-02 00:00:00,2021-01-02 06:00:00,,4.3124857
2021-01-02 00:00:00,2021-01-02 07:00:00,,4.24999
2021-01-02 00:00:00,2021-01-02 08:00:00,,3.687501
2021-01-02 00:00:00,2021-01-02 09:00:00,,3.2500029
2021-01-02 00:00:00,2021-01-02 10:00:00,,3.0
2021-01-02 00:00:00,2021-01-02 11:00:00,,2.875
2021-01-02 06:00:00,2021-01-02 06:00:00,,4.062504
2021-01-02 06:00:00,2021-01-02 07:00:00,,3.3124983
2021-01-02 06:00:00,2021-01-02 08:00:00,,2.6249886
2021-01-02 06:00:00,2021-01-02 09:00:00,,2.6875138
2021-01-02 06:00:00,2021-01-02 10:00:00,,2.6875138
2021-01-02 06:00:00,2021-01-02 11:00:00,,2.5
2021-01-02 06:00:00,2021-01-02 12:00:00,,2.5
2021-01-02 06:00:00,2021-01-02 13:00:00,,2.4375
2021-01-02 06:00:00,2021-01-02 14:00:00,,2.4375
2021-01-02 06:00:00,2021-01-02 15:00:00,,2.3125
2021-01-02 06:00:00,2021-01-02 16:00:00,,2.249986
2021-01-02 06:00:00,2021-01-02 17:00:00,,2.1874905
2021-01-02 12:00:00,2021-01-02 12:00:00,,2.4375
2021-01-02 12:00:00,2021-01-02 13:00:00,,2.2500038
2021-01-02 12:00:00,2021-01-02 14:00:00,,2.1874905
2021-01-02 12:00:00,2021-01-02 15:00:00,,1.8125
2021-01-02 12:00:00,2021-01-02 16:00:00,,1.5625
2021-01-02 12:00:00,2021-01-02 17:00:00,,1.8750131
2021-01-02 12:00:00,2021-01-02 18:00:00,,2.0
2021-01-02 12:00:00,2021-01-02 19:00:00,,2.1875
2021-01-02 12:00:00,2021-01-02 20:00:00,,1.8750131
2021-01-02 12:00:00,2021-01-02 21:00:00,,1.8124878
2021-01-02 12:00:00,2021-01-02 22:00:00,,1.7499924
2021-01-02 12:00:00,2021-01-02 23:00:00,,1.6874969
2021-01-02 18:00:00,2021-01-02 18:00:00,,1.7499924
2021-01-02 18:00:00,2021-01-02 19:00:00,,2.124995
2021-01-02 18:00:00,2021-01-02 20:00:00,,1.8124878
2021-01-02 18:00:00,2021-01-02 21:00:00,,1.6874969
2021-01-02 18:00:00,2021-01-02 22:00:00,,1.562506
2021-01-02 18:00:00,2021-01-02 23:00:00,,1.6874969
2021-01-02 18:00:00,2021-01-03 00:00:00,,1.8124878
2021-01-02 18:00:00,2021-01-03 01:00:00,,1.7499924
2021-01-02 18:00:00,2021-01-03 02:00:00,,1.7499924
2021-01-02 18:00:00,2021-01-03 03:00:00,,1.8750131
2021-01-02 18:00:00,2021-01-03 04:00:00,,1.562506
2021-01-02 18:00:00,2021-01-03 05:00:00,,1.3124943
2021-01-03 00:00:00,2021-01-03 00:00:00,,1.8124878
2021-01-03 00:00:00,2021-01-03 01:00:00,,1.6874969
2021-01-03 00:00:00,2021-01-03 02:00:00,,1.7499924
2021-01-03 00:00:00,2021-01-03 03:00:00,,1.562506
2021-01-03 00:00:00,2021-01-03 04:00:00,,0.9999871
2021-01-03 00:00:00,2021-01-03 05:00:00,,1.1250079
2021-01-03 00:00:00,2021-01-03 06:00:00,,1.3749897
2021-01-03 00:00:00,2021-01-03 07:00:00,,1.5000105
2021-01-03 00:00:00,2021-01-03 08:00:00,,1.6874969
2021-01-03 00:00:00,2021-01-03 09:00:00,,1.6250014
2021-01-03 00:00:00,2021-01-03 10:00:00,,1.7499924
2021-01-03 00:00:00,2021-01-03 11:00:00,,1.8750131
2021-01-03 06:00:00,2021-01-03 06:00:00,,1.562506
2021-01-03 06:00:00,2021-01-03 07:00:00,,1.3124943
2021-01-03 06:00:00,2021-01-03 08:00:00,,1.1875033
2021-01-03 06:00:00,2021-01-03 09:00:00,,1.1875033
2021-01-03 06:00:00,2021-01-03 10:00:00,,1.4374852
2021-01-03 06:00:00,2021-01-03 11:00:00,,1.6250014
2021-01-03 06:00:00,2021-01-03 12:00:00,,1.6250014
2021-01-03 06:00:00,2021-01-03 13:00:00,,1.7499924
2021-01-03 06:00:00,2021-01-03 14:00:00,,2.000004
2021-01-03 06:00:00,2021-01-03 15:00:00,,2.000004
2021-01-03 06:00:00,2021-01-03 16:00:00,,2.0624995
2021-01-03 06:00:00,2021-01-03 17:00:00,,2.249986
2021-01-03 12:00:00,2021-01-03 12:00:00,,1.6250014
2021-01-03 12:00:00,2021-01-03 13:00:00,,1.3124943
2021-01-03 12:00:00,2021-01-03 14:00:00,,1.2499988
2021-01-03 12:00:00,2021-01-03 15:00:00,,1.3124943
2021-01-03 12:00:00,2021-01-03 16:00:00,,1.5000105
2021-01-03 12:00:00,2021-01-03 17:00:00,,1.8750131
2021-01-03 12:00:00,2021-01-03 18:00:00,,2.124995
2021-01-03 12:00:00,2021-01-03 19:00:00,,2.3125112
2021-01-03 12:00:00,2021-01-03 20:00:00,,2.3750067
2021-01-03 12:00:00,2021-01-03 21:00:00,,2.562493
2021-01-03 12:00:00,2021-01-03 22:00:00,,2.6249886
2021-01-03 12:00:00,2021-01-03 23:00:00,,2.4999976
2021-01-03 18:00:00,2021-01-03 18:00:00,,2.000004
2021-01-03 18:00:00,2021-01-03 19:00:00,,2.1874905
2021-01-03 18:00:00,2021-01-03 20:00:00,,2.249986
2021-01-03 18:00:00,2021-01-03 21:00:00,,2.1874905
2021-01-03 18:00:00,2021-01-03 22:00:00,,2.4375021
2021-01-03 18:00:00,2021-01-03 23:00:00,,2.6875138
2021-01-03 18:00:00,2021-01-04 00:00:00,,2.6875138
2021-01-03 18:00:00,2021-01-04 01:00:00,,2.6249886
2021-01-03 18:00:00,2021-01-04 02:00:00,,2.3750067
2021-01-03 18:00:00,2021-01-04 03:00:00,,2.3750067
2021-01-03 18:00:00,2021-01-04 04:00:00,,2.3750067
2021-01-03 18:00:00,2021-01-04 05:00:00,,2.249986
