ref_datetime,valid_datetime,target,WindSpeed
2021-01-01 00:00:00,2021-01-01 00:00:00,1.18,3.125012
2021-01-01 00:00:00,2021-01-01 01:00:00,0.85,2.9999912
2021-01-01 00:00:00,2021-01-01 02:00:00,1.28,2.3750067
2021-01-01 00:00:00,2021-01-01 03:00:00,0.88,2.7500093
2021-01-01 00:00:00,2021-01-01 04:00:00,0.63,3.0625
2021-01-01 00:00:00,2021-01-01 05:00:00,0.56,3.3125
2021-01-01 00:00:00,2021-01-01 06:00:00,0.42,3.5
2021-01-01 00:00:00,2021-01-01 07:00:00,0.31,3.0624866
2021-01-01 00:00:00,2021-01-01 08:00:00,0.33,3.5000145
2021-01-01 00:00:00,2021-01-01 09:00:00,0.74,3.8749874
2021-01-01 00:00:00,2021-01-01 10:00:00,1.37,4.124999
2021-01-01 00:00:00,2021-01-01 11:00:00,0.95,4.1874943
2021-01-01 06:00:00,2021-01-01 06:00:00,0.42,3.25
2021-01-01 06:00:00,2021-01-01 07:00:00,0.31,3.25
2021-01-01 06:00:00,2021-01-01 08:00:00,0.33,4.124999
2021-01-01 06:00:00,2021-01-01 09:00:00,0.74,4.24999
2021-01-01 06:00:00,2021-01-01 10:00:00,1.37,4.7500134
2021-01-01 06:00:00,2021-01-01 11:00:00,0.95,4.75
2021-01-01 06:00:00,2021-01-01 12:00:00,0.85,4.437506
2021-01-01 06:00:00,2021-01-01 13:00:00,0.78,4.562497
2021-01-01 06:00:00,2021-01-01 14:00:00,1.06,4.8125086
2021-01-01 06:00:00,2021-01-01 15:00:00,0.35,4.687488
2021-01-01 06:00:00,2021-01-01 16:00:00,0.44,4.687488
2021-01-01 06:00:00,2021-01-01 17:00:00,0.57,4.5
2021-01-01 12:00:00,2021-01-01 12:00:00,0.85,4.24999
2021-01-01 12:00:00,2021-01-01 13:00:00,0.78,4.1874943
2021-01-01 12:00:00,2021-01-01 14:00:00,1.06,4.6249924
2021-01-01 12:00:00,2021-01-01 15:00:00,0.35,4.562497
2021-01-01 12:00:00,2021-01-01 16:00:00,0.44,4.500002
2021-01-01 12:00:00,2021-01-01 17:00:00,0.57,4.375
2021-01-01 12:00:00,2021-01-01 18:00:00,0.33,4.125
2021-01-01 12:00:00,2021-01-01 19:00:00,0.19,4.0
2021-01-01 12:00:00,2021-01-01 20:00:00,0.0,4.4375
2021-01-01 12:00:00,2021-01-01 21:00:00,0.0,4.875
2021-01-01 12:00:00,2021-01-01 22:00:00,0.17,5.1875
2021-01-01 12:00:00,2021-01-01 23:00:00,1.02,5.4375
2021-01-01 18:00:00,2021-01-01 18:00:00,0.33,4.125
2021-01-01 18:00:00,2021-01-01 19:00:00,0.19,4.1875
2021-01-01 18:00:00,2021-01-01 20:00:00,0.0,4.375
2021-01-01 18:00:00,2021-01-01 21:00:00,0.0,4.625
2021-01-01 18:00:00,2021-01-01 22:00:00,0.17,4.6249924
2021-01-01 18:00:00,2021-01-01 23:00:00,1.02,4.8125086
2021-01-01 18:00:00,2021-01-02 00:00:00,5.63,5.0624905
2021-01-01 18:00:00,2021-01-02 01:00:00,4.73,5.5625
2021-01-01 18:00:00,2021-01-02 02:00:00,2.7,6.3125
2021-01-01 18:00:00,2021-01-02 03:00:00,7.32,7.1249905
2021-01-01 18:00:00,2021-01-02 04:00:00,4.81,8.249998
2021-01-01 18:00:00,2021-01-02 05:00:00,3.04,8.249998
2021-01-02 00:00:00,2021-01-02 00:00:00,5.63,4.3750105
2021-01-02 00:00:00,2021-01-02 01:00:00,4.73,5.1875114
2021-01-02 00:00:00,2021-01-02 02:00:00,2.7,5.75
2021-01-02 00:00:00,2021-01-02 03:00:00,7.32,6.7499876
2021-01-02 00:00:00,2021-01-02 04:00:00,4.81,6.937504
2021-01-02 00:00:00,2021-01-02 05:00:00,3.04,7.1249905
2021-01-02 00:00:00,2021-01-02 06:00:00,2.88,7.250011
2021-01-02 00:00:00,2021-01-02 07:00:00,2.11,7.1874857
2021-01-02 00:00:00,2021-01-02 08:00:00,0.81,7.1874857
2021-01-02 00:00:00,2021-01-02 09:00:00,1.44,7.3125067
2021-01-02 00:00:00,2021-01-02 10:00:00,1.77,7.3125
2021-01-02 00:00:00,2021-01-02 11:00:00,1.06,6.9375
2021-01-02 06:00:00,2021-01-02 06:00:00,2.88,5.812496
2021-01-02 06:00:00,2021-01-02 07:00:00,2.11,4.6249924
2021-01-02 06:00:00,2021-01-02 08:00:00,0.81,4.1874943
2021-01-02 06:00:00,2021-01-02 09:00:00,1.44,4.3750105
2021-01-02 06:00:00,2021-01-02 10:00:00,1.77,4.8125086
2021-01-02 06:00:00,2021-01-02 11:00:00,1.06,5.3125
2021-01-02 06:00:00,2021-01-02 12:00:00,2.67,5.75
